id,hinban,item,description,remarks,unit,uprice,ouritem,vol,zaiko,kento,hcode,cat
3413,"TF962-50 FIT/DBR","TF962-11R FIT/DBR","","",pcs,"","","",0,0,"",""
3414,"TF962-50 FIT/DGY","TF962-11R FIT/DGY","","",pcs,"","","",0,0,"",""
3415,"TF962-50 FIT/GRY","TF962-11R FIT/GRY","","",pcs,"","","",0,0,"",""
3416,"TF962-50 SN/01","TF962-50 CHILI01","布地 CHILI01","CU35同梱(布地=CHILI01)",pcs,"","","",0,0,"",""
3417,"TF962-50 SN/02","TF962-50 CHILI17","布地 CHILI17","CU35同梱(布地=CHILI17)",pcs,"","","",0,0,"",""
3418,"TF962-50 SN/03","TF962-50 CHILI25","布地 CHILI25","CU35同梱(布地=CHILI25)",pcs,"","","",0,0,"",""
3419,"TF962-50 SP/140","TF962-50 SP/140","布地SP/140 ","CU35同梱=SP/140",pcs,"","","",0,0,"",""
3420,"TF962-50 SP/146","TF962-11R SP/146","","",pcs,"","","",0,0,"",""
3421,"TF962-50 SP/146","TF962-50 SP/146","布地SP/146 ","CU35同梱=SP/146",pcs,"","","",0,0,"",""
3422,"TF962-50 SP/156","TF962-11R SP/156","","",pcs,"","","",0,0,"",""
3423,"Vie+シリーズネームタグ","ネームタグ(Vie+)","","",pcs,"","","",0,0,"",""
3424,"Y039-14F SP/183","Y039-14F SP/183","新規ベッド","",set,"確認中","","",0,0,"",""
3425,"アナベル2(CE72) 肘板サンプル","CE72-W77 板サンプル","アナベル2 肘板サンプル W77色 (75mm×75mm)","",pcs,1.0,"",0.0004,0,0,"",""
3426,"アナベル2(CE72) 肘板サンプル","CE72-W77 板サンプル","アナベル2 肘板サンプル W77色 (75mm×75mm)","別製品",pcs,1.0,"",0.0004,0,0,"",""
3427,"コクヨCE-720B",CE-720B,"アナベル ヌードボディのみ","",PCS,122.6,"",0.51,0,0,"",""
3428,"サンプル SP/122","サンプル SP/122","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
3429,"サンプル SP/126","サンプル SP/126","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
3430,"サンプル SP/172","サンプル SP/172","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
3431,"サンプル SP/176","サンプル SP/176","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
3432,"サンプル SP/178","サンプル SP/178","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
3433,"サンプル SP/180","サンプル SP/180","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
3434,"サンプル SP/181","サンプル SP/181","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
3435,"サンプル SP/182","サンプル SP/182","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
3436,"サンプル SP/183","サンプル SP/183","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
3437,"サンプル SP/184","サンプル SP/184","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
3438,"サンプル SP/206","サンプル SP/206","布地","サイズ 10cm×10cm ロックなし",pcs,"","","",0,0,"",""
